0,663,643,781,875,774,902,1022,1549,1062,1078,1442,1756,1709,1826,1774,1763,1294,942,885
663,0,20,508,761,1095,463,990,1633,849,919,1251,1621,1526,1585,1599,1458,1404,1216,696
643,20,0,479,750,1068,483,971,1593,640,899,1231,1601,1506,1565,1579,1478,1537,1058,676
781,508,479,0,358,684,549,577,1294,581,778,1093,1420,1397,1486,1460,1431,1122,774,558
875,761,750,358,0,427,779,318,1047,503,703,417,757,719,805,792,1218,870,588,279
774,1095,1068,684,427,0,1124,570,693,780,952,765,874,1266,1309,1211,1710,466,262,777
902,463,483,549,779,1124,0,1014,1618,482,875,1153,1540,1249,1321,1315,1034,1406,1076,669
1022,990,971,577,318,570,1014,0,862,584,607,709,1030,1020,1106,1083,1503,662,318,531
1549,1633,1593,1294,1047,693,1618,862,0,1198,902,479,613,1030,1014,942,1411,479,466,997
1062,849,640,581,503,780,482,584,1198,0,463,1210,1184,807,1097,1105,918,1004,696,249
1078,919,899,778,703,952,875,607,902,463,0,417,757,719,805,792,1218,870,588,279
1442,1251,1231,1093,417,765,1153,709,479,1210,417,0,338,591,534,485,919,525,548,638
1756,1621,1601,1420,757,874,1540,1030,613,1184,757,338,0,644,666,561,1089,663,659,986
1709,1526,1506,1397,719,1266,1249,1020,1030,807,719,591,644,0,154,190,374,1086,1099,901
1826,1585,1565,1486,805,1309,1321,1106,1014,1097,805,534,666,154,0,135,427,1066,1105,983
1774,1599,1579,1460,792,1211,1315,1083,942,1105,792,485,561,190,135,0,535,998,1004,967
1763,1458,1478,1431,1218,1710,1034,1503,1411,918,1218,919,1089,374,427,535,0,1443,1469,1277
1294,1404,1537,1122,870,466,1406,662,479,1004,870,525,663,1086,1066,998,1443,0,174,777
942,1216,1058,774,588,262,1076,318,466,696,588,548,659,1099,1105,1004,1469,174,0,466
885,696,676,558,279,777,669,531,997,249,279,638,986,901,983,967,1277,777,466,0
